barbarian_0_x, barbarian_0_y, barbarian_1_x, barbarian_1_y, barbarian_2_x, barbarian_2_y, barbarian_3_x, barbarian_3_y, barbarian_4_x, barbarian_4_y, barbarian_5_x, barbarian_5_y, barbarian_6_x, barbarian_6_y, barbarian_7_x, barbarian_7_y, barbarian_8_x, barbarian_8_y, barbarian_9_x, barbarian_9_y, barbarian_10_x, barbarian_10_y, barbarian_11_x, barbarian_11_y, barbarian_12_x, barbarian_12_y, archer_0_x, archer_0_y, archer_1_x, archer_1_y, archer_2_x, archer_2_y, archer_3_x, archer_3_y, archer_4_x, archer_4_y, archer_5_x, archer_5_y, archer_6_x, archer_6_y, archer_7_x, archer_7_y, archer_8_x, archer_8_y, archer_9_x, archer_9_y, archer_10_x, archer_10_y, archer_11_x, archer_11_y, archer_12_x, archer_12_y, giant_0_x, giant_0_y, giant_1_x, giant_1_y, giant_2_x, giant_2_y, giant_3_x, giant_3_y, giant_4_x, giant_4_y, giant_5_x, giant_5_y, giant_6_x, giant_6_y, giant_7_x, giant_7_y, giant_8_x, giant_8_y, giant_9_x, giant_9_y
36, 16, 27, 41, 35, -13, 41, 8, 42, 27, -9, 3, 29, -12, -13, 21, 47, 43, -9, 16, 37, 30, 36, 2, 5, -10, 8, -12, -18, 32, 35, 38, 37, 7, -15, 9, 34, 8, 40, -4, 30, -4, 13, -4, 28, -11, 46, 39, -4, 31, -16, -10, 37, -18, 27, 38, -20, 3, 13, -8, 38, -2, 29, -18, 6, 45, -11, 0, 33, 35, 23, 45
29, -20, 36, -4, -1, 38, 40, 47, 19, -19, 10, 32, -6, 16, 6, -2, -18, 33, -9, 41, 32, -19, 29, 45, 13, 36, 40, 6, -3, -6, -11, 40, -20, -1, -15, 8, -8, 7, 25, -11, -2, -7, -5, 47, -4, -14, 1, 39, 42, 10, 45, 32, -2, 24, 45, -3, -2, -4, 32, 37, 30, 37, 28, -17, 24, -7, 8, 31, 24, 33, 32, -13
-19, -3, 44, -6, 35, 14, -18, 46, -7, 40, -12, 30, -9, 14, -12, 29, 32, 22, 20, 36, 45, 35, 0, -3, -5, 14, -7, 44, 29, 43, -18, 41, -15, -3, 5, -19, 10, 37, 40, -3, -18, -15, 42, 16, 10, 29, 38, 23, -12, 16, 17, 31, -3, 30, 37, -15, 3, -13, 43, -16, 0, 47, 34, 40, 43, 1, 47, -7, 5, -19, 42, 46
36, 45, 23, 29, -3, 33, 39, -11, 43, -18, 17, 44, -7, 26, 3, 34, 45, 21, 39, 29, 4, -2, 43, -8, 3, 42, 0, -4, 5, -17, -17, -18, 43, 42, 38, 37, -7, -1, -20, -6, -1, -20, 45, 34, 2, 33, 27, -9, -12, 43, 41, 27, 36, 10, -2, 16, 23, -11, -6, 39, -18, 47, 10, -15, -4, 29, 41, -7, 29, -14, -3, 28
40, 31, -15, 41, 46, -20, 46, 20, 23, -2, 3, -14, 9, -10, -14, 31, 39, 13, -20, 23, 6, -16, 25, 39, 30, -12, 46, 25, 8, -2, 29, 5, -7, 40, -6, 44, -7, -10, 22, 34, -20, -8, 18, 41, 42, -8, -3, -9, 34, -16, -10, 5, -5, 35, -15, 17, -13, 30, -11, -18, -8, 43, -1, 35, 41, -11, -16, -7, 4, -16, -2, 42
-19, 23, 45, -17, -14, -1, 45, 43, -7, 30, 35, 33, 43, 45, 33, -7, 45, 45, -4, -14, 42, 10, 44, 34, 11, -17, 31, -20, 22, -20, 14, -3, -8, -6, -16, 39, 11, -15, 30, 2, -9, -3, 31, 36, 23, 42, 45, 2, 47, 21, 30, -7, -4, 7, 29, 42, 41, 21, 43, 30, -8, -17, 31, 25, 9, -5, 31, 39, 5, 37, 16, -6
-17, 42, -9, 10, -6, 12, 1, -12, -12, -8, -12, 23, -13, 39, 2, 30, 29, 36, -10, 40, 9, -11, -16, 41, 15, 40, 10, -15, 9, 30, -19, 17, 39, -10, -9, 25, 45, 33, 46, -4, -19, -14, -9, 32, 27, 35, 31, -16, -15, -16, 24, 46, -14, 35, -20, -18, 42, 12, 9, 35, 44, 17, 32, 20, 31, -18, -8, 19, 38, 16, 36, -19
25, -3, -3, 42, 16, -19, -15, 43, -10, 7, 26, -7, -8, 43, 38, 26, -7, 11, 33, -2, -16, 32, -9, 42, -4, 34, 4, -5, -15, -18, 25, -7, -14, -13, 0, -16, -12, 26, 30, -1, 29, 45, 22, -10, 31, 40, -4, 7, -2, 41, 39, -16, 12, 32, -14, -14, -2, -13, 16, 41, 41, 26, -19, 16, -8, 16, 33, -15, -18, 33, 44, 10
47, 35, -2, -14, 34, 33, -16, -17, -14, 26, -6, 29, -5, -6, -5, 8, 9, 37, 12, 40, 40, 28, 46, 30, 33, 30, 32, -15, -18, -8, 26, -13, 34, 30, -2, -6, 34, -16, 0, -11, 39, -18, -1, 47, 39, -10, 2, -19, -8, -16, -4, 16, 33, 32, -2, 14, 40, 42, 3, -5, 14, 46, 32, -6, 37, 31, 47, -17, -14, -12, -9, -3
-17, 35, -5, -9, 32, -4, -8, 16, 40, 39, 32, -9, -11, 37, -18, 27, 42, 20, -17, 28, 1, -2, 42, 28, 34, 29, 32, -13, 37, -17, 45, -2, 16, -8, 0, 41, 46, -17, 44, -17, 5, -17, -8, 40, 31, 6, 20, 41, 27, 31, 6, 40, 45, 45, -4, 25, -12, 43, -14, 43, 44, -16, 23, 33, 28, 32, 7, 40, 7, 37, -9, -20
