cannon_1, cannon_2, archer_1, archer_2, army_1, army_2, goldstorage_1, goldstorage_2, elixerstorage_1, elixerstorage_2, barracks_1, barracks_2, barracks_3, mortar_1, builder_1, gold_1, gold_2, gold_3, gold_4, elixer_1, elixer_2, elixerstorage_3, elixer_3, townhall_1, research_1, castle_1
0, 0, 0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0, 0, 0, 0.392, 0, 0, 1.0, 0, 0.456, 1.0, 0.6903225806451613, 0, 1.0, 1.0, 0.64, 0, 0, 0, 0, 0, 0, 0.7546666666666667, 0, 1.0, 0, 0
0, 0, 0, 1.0, 0, 0.92, 1.0, 1.0, 1.0, 1.0, 0, 0, 0.9483870967741935, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.9146666666666666, 0, 1.0, 0, 0
0.6145454545454545, 0, 1.0, 0, 0, 1.0, 1.0, 0, 1.0, 0, 1.0, 0, 0, 0, 0, 0.6852459016393443, 0, 0, 0, 0, 0, 0, 0, 0.6447619047619048, 0, 0
1.0, 0, 0.088, 0, 0, 0, 0.856, 0, 1.0, 0, 0, 0.17419354838709677, 0, 0.715, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 0.506, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 1.0, 0, 0.712, 0.05573770491803279, 0, 0, 0, 0, 0.06229508196721312, 0.668, 0, 1.0, 0, 0
1.0, 0, 1.0, 0, 0, 0.8933333333333333, 1.0, 0, 1.0, 0.37066666666666664, 0, 0.7935483870967742, 0, 0.62, 0, 0.7049180327868853, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 0.41, 0.658, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 0, 0.5868852459016394, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
1.0, 0, 1.0, 1.0, 0, 0, 1.0, 1.0, 1.0, 1.0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0
0.6890909090909091, 0, 1.0, 0, 0.88, 0.9733333333333334, 1.0, 0, 1.0, 0, 1.0, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.46, 0, 0
