barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y
0,-3,14,-13,-4,4,-9,49,-6,28,40,8,-14,26,2,32,-17,3,44,5,-18,37,-13,39,6,35,-4,27,-10,34,42,4,36,37,28,32,-19,-18,3,-16,34,-16,7,39,33,24
26,35,1,42,38,21,-3,42,-11,2,16,-2,45,19,46,-18,17,-18,27,45,27,-8,25,43,28,49,7,35,17,39,30,36,21,-5,34,-16,46,5,28,-8,8,42,43,-17,-4,38
49,41,40,2,-2,-19,-15,42,46,17,13,-4,-17,23,48,-18,4,37,-4,29,49,-20,-13,-3,-18,4,10,-2,15,47,32,46,-9,7,-18,-6,-8,0,21,-18,23,44,27,34,-16,25
-17,25,41,30,47,32,42,30,1,-2,-14,-16,47,23,45,34,20,-19,19,45,-2,-16,42,-11,32,-3,36,30,13,-8,39,-10,20,39,43,15,-8,48,14,-3,40,4,24,40,0,44
-14,36,18,-9,-5,24,-10,1,40,21,7,-12,45,25,-6,45,-19,38,-8,45,2,44,-3,10,-1,46,-17,17,33,-2,-20,49,-4,43,28,-12,-15,-14,-2,-14,9,-6,-6,42,35,9
7,-9,4,-8,49,3,-18,15,-4,22,28,39,48,-6,33,38,-15,2,39,-8,-18,20,22,44,-16,7,8,39,21,-16,39,33,-16,-19,17,-9,-9,10,18,-12,-8,-2,-3,46,48,-16
41,11,-20,33,-6,16,12,-6,-15,-6,34,11,-9,-4,-19,35,-9,26,10,32,-11,12,46,-5,38,16,17,41,-17,15,4,-10,-18,43,-3,15,-17,-1,-12,43,42,8,40,-15,39,5
40,23,21,-10,-18,27,39,49,0,46,45,-10,-5,1,-4,42,-5,27,12,-11,47,-13,0,45,-7,-12,36,10,-19,25,20,35,45,7,34,13,44,19,40,43,-19,-13,-8,-12,26,40
-13,29,42,15,47,27,-19,8,45,47,40,-4,46,9,39,4,5,-17,42,16,37,-18,-18,2,34,-13,-13,36,-19,38,-6,25,35,-14,-4,17,-9,36,45,-4,45,-16,21,-6,35,-6
23,-12,42,5,-6,49,23,-11,34,18,17,34,-9,48,-2,-8,-19,35,-12,17,32,32,38,-12,-11,-11,44,28,32,10,-10,-9,27,35,40,-4,34,39,-12,13,15,-15,-19,-4,-6,13
