barbarian_0_x,barbarian_0_y,barbarian_1_x,barbarian_1_y,barbarian_2_x,barbarian_2_y,barbarian_3_x,barbarian_3_y,barbarian_4_x,barbarian_4_y,barbarian_5_x,barbarian_5_y,barbarian_6_x,barbarian_6_y,barbarian_7_x,barbarian_7_y,barbarian_8_x,barbarian_8_y,barbarian_9_x,barbarian_9_y,archer_0_x,archer_0_y,archer_1_x,archer_1_y,archer_2_x,archer_2_y,archer_3_x,archer_3_y,archer_4_x,archer_4_y,archer_5_x,archer_5_y,archer_6_x,archer_6_y,archer_7_x,archer_7_y,archer_8_x,archer_8_y,archer_9_x,archer_9_y,giant_0_x,giant_0_y,giant_1_x,giant_1_y,giant_2_x,giant_2_y
-20,29,36,8,35,19,32,45,46,44,35,-14,42,16,-20,33,45,37,-14,-7,-10,-2,34,29,-4,40,-2,-12,-13,-14,-4,-20,42,27,35,28,21,39,-7,26,-1,41,-2,-2,-11,45
-13,-16,20,-11,12,44,-2,-14,-16,37,-3,43,0,47,-17,37,41,-4,-3,-2,-16,-3,30,37,0,43,38,-13,40,-11,24,35,-2,12,-4,-9,45,-9,40,30,34,18,31,36,-3,46
-8,41,40,-3,-6,-14,-18,33,-15,-2,33,-5,19,39,-6,31,21,-17,33,22,-20,45,-3,45,-17,-4,25,-14,37,-11,28,-3,-14,-6,9,34,27,41,21,-19,-14,25,-4,-13,-9,-5
32,31,22,33,-16,1,-14,20,32,34,25,-4,3,-19,33,15,-5,-2,-6,29,9,47,40,35,39,-9,-4,3,-14,19,-20,-11,30,38,20,33,-10,-2,36,12,34,-17,-12,-7,12,-13
-11,34,-3,23,11,39,-9,-5,41,19,36,8,36,41,17,-14,39,-6,-6,-7,24,34,38,31,41,17,43,43,41,-14,32,5,11,43,-15,29,7,31,39,35,-1,-5,-7,20,-2,47
-4,-3,-5,-18,-15,43,-5,15,15,37,32,40,18,-19,-17,38,16,-6,5,34,43,19,-16,20,-18,33,8,31,-20,-19,4,45,37,43,-3,19,5,30,34,15,-13,38,-11,36,-18,47
47,24,13,-12,4,-6,39,-20,45,44,-9,5,-6,-18,35,29,29,4,-12,-9,-15,-15,-15,-3,-10,-16,44,-8,34,47,-12,-4,-3,45,2,-2,42,5,28,-14,47,-6,-8,29,-14,41
9,-17,16,32,13,-2,-9,12,-9,26,40,32,-3,41,38,30,19,33,20,39,45,39,-8,44,36,24,29,34,44,44,25,-17,45,35,42,-10,-15,21,31,-14,36,-19,35,34,-16,17
39,42,-8,-19,30,41,29,-20,47,35,-3,40,40,-7,-3,6,-20,-11,-10,2,-11,35,33,-10,12,-7,4,-11,-13,3,-10,-12,-20,38,33,-11,31,-7,-8,47,23,39,46,29,-16,-10
-12,18,-12,-8,0,43,24,40,43,-4,39,7,25,-16,37,-13,-15,20,37,-8,9,-8,40,13,6,-19,44,13,20,35,-19,-13,31,-4,6,-8,33,43,45,-8,-8,38,39,-14,-7,-16
