cannon_1,cannon_2,archer_1,goldstorage_1,elixerstorage_1,gold_1,gold_2,elixer_1,elixer_2,barracks_1,barracks_2,townhall_1,army_1,builder_1,builder_2,castle_1,total
0,0,0.9725,0,0,0,0,0,0,0.38571428571428573,0,0.9926666666666667,0,0.876,0.928,0.928,0.571882951653944
0,0.7555555555555555,1.0,1.0,0.2875,0.07555555555555556,1.0,0,0,0.9678571428571429,0,1.0,1.0,1.0,0.856,1.0,0.3162849872773537
0.04666666666666667,1.0,0.12,0.89,1.0,0.5111111111111111,1.0,0,0.22666666666666666,1.0,0,1.0,1.0,0.692,0.892,0.989,0.28473282442748094
0.13555555555555557,0,1.0,0.6975,0.775,0,0,0,0,1.0,0,1.0,1.0,0.876,0.488,0.865,0.4356234096692112
1.0,0,0.45,0,0.89,0,0,0.32222222222222224,1.0,0.9214285714285714,0,1.0,0.345,0,0,0.227,0.5287531806615776
0,0.84,0.945,0.8425,0.285,0,0,0,0,0.9357142857142857,0,1.0,1.0,0.692,0.964,1.0,0.39147582697201017
0.5355555555555556,0.22444444444444445,0.6975,0,1.0,0,0,1.0,1.0,1.0,0.22857142857142856,1.0,0.8425,0.956,0.76,1.0,0.2963104325699746
0.78,0,0.615,1.0,1.0,0,0,0,0.13555555555555557,0.8071428571428572,0,1.0,0.055,0,0,0.729,0.4993638676844784
0,1.0,0.27,1.0,0.2575,0.6111111111111112,1.0,0,0.6044444444444445,1.0,0,1.0,0.8075,0.216,0.964,1.0,0.305852417302799
0.41333333333333333,0,1.0,0,1.0,0,0,0,0.26,1.0,0,1.0,0.055,0.912,0.296,1.0,0.46475826972010176
0,0.18888888888888888,0,0.315,0,0,0,0,0,0,0,0.694,0,0,0,0.318,0.8002544529262087
1.0,0,1.0,0,1.0,0,0,0,1.0,1.0,0,1.0,0.255,0.692,0.32,0.883,0.39974554707379134
0.11333333333333333,0.6577777777777778,0,0.9325,0,0.5155555555555555,1.0,0,0,0,0,0.916,0.7575,0,0,0.755,0.5122137404580153
1.0,0,0.8075,0,1.0,0,0,0,0.8777777777777778,1.0,0,1.0,0.62,1.0,0,0.731,0.4176844783715013
0.6311111111111111,0,0.23,0,1.0,0,0,0,0,1.0,0,1.0,0.56,1.0,0.736,0.361,0.5451653944020356
1.0,0.5644444444444444,0.3475,0.3125,1.0,0,0,0,0.74,0,0,1.0,1.0,0,0,0.839,0.4351145038167939
0.5977777777777777,0,0.78,0,0.8425,0,0,0,0,1.0,0,1.0,1.0,0.736,0.568,0.865,0.4543256997455471
0,0,1.0,0,0,0,0,0,0,0.29285714285714287,0,0.9633333333333334,0,1.0,1.0,0.451,0.6338422391857507
0,0.8777777777777778,0.23,0.7525,0.89,0,0,1.0,0,1.0,1.0,1.0,1.0,0.736,0.804,1.0,0.30801526717557254
0.6333333333333333,0.43777777777777777,0.4225,0.395,1.0,0,0.68,0.16,1.0,1.0,0,1.0,0,0.824,0.964,1.0,0.3302798982188295
0,0.9022222222222223,1.0,1.0,0,0,0.78,0,0,0.1357142857142857,0,1.0,0.8875,1.0,0.796,1.0,0.3767175572519084
0.5844444444444444,0.47333333333333333,0.6975,0.4825,1.0,0,0,0.09555555555555556,0.8777777777777778,1.0,0,1.0,1.0,0.06,0.496,0.945,0.3575063613231552
0.7,0,0,0,1.0,0,0,0,0,0.9214285714285714,0,0.82,0.615,0,0,0,0.6884223918575063
0.56,0.7555555555555555,0.505,1.0,0.8425,0,0.9,0.011111111111111112,1.0,1.0,0,1.0,0,0.428,0.224,1.0,0.32137404580152673
0.5111111111111111,0,0.4775,0,0.595,0,0,0,0,1.0,0,1.0,0,0.964,0.34,0.866,0.5380407124681934
1.0,0,0.735,0.01,0.78,0,0,0,0.62,0,0,1.0,1.0,0,0,0.829,0.48244274809160304
0.3422222222222222,0.9755555555555555,0,1.0,0.63,0,0.84,0,0,0,0,0.778,1.0,0,0,0.791,0.4935114503816794
0.3888888888888889,0.36444444444444446,0.175,1.0,1.0,0,1.0,0,1.0,0.13214285714285715,0,1.0,1.0,0,0,0.541,0.416412213740458
0.6577777777777778,0.3888888888888889,0.67,1.0,1.0,0,0,0.3022222222222222,1.0,0.35714285714285715,0,1.0,0.3025,0,0.848,0.964,0.3610687022900763
0.3488888888888889,0.52,0.57,0.025,0,0,0,0,0,1.0,0,1.0,1.0,0.912,0,1.0,0.4863867684478371
0,0.9022222222222223,0.955,0.145,0,0,0.9,0,0.9266666666666666,1.0,0,1.0,0.1475,1.0,0.848,1.0,0.3678117048346056
1.0,0,0.78,0,1.0,0,0,0.4955555555555556,1.0,0,0,1.0,0.555,0,0.12,0.892,0.4301526717557252
0.3888888888888889,0.7555555555555555,0.9175,1.0,0.7075,0,0.74,0,0.08444444444444445,1.0,0,1.0,0.8625,0.62,0.724,1.0,0.3133587786259542
0.8044444444444444,0.4622222222222222,1.0,0,0.78,0,0,0,0.62,0.23214285714285715,0,1.0,0.82,0,0.384,1.0,0.4211195928753181
0.7555555555555555,0,0,0.525,1.0,0,0,0,0.29777777777777775,1.0,0,1.0,0.8875,0.3,0,0,0.5809160305343511
0.4622222222222222,0.5355555555555556,0.5775,0.28,0.4375,0,0.9511111111111111,0,0,1.0,0,1.0,0,0.28,0,0.942,0.4673027989821883
0,0.41333333333333333,1.0,1.0,0,0,0.9,0,0,0.9357142857142857,0,1.0,0.9725,1.0,0.868,0.978,0.3655216284987277
0.6822222222222222,0.5844444444444444,0.1325,1.0,0.415,0,0,0,0.76,0.6071428571428571,0,1.0,0.0775,0,0,0.616,0.5104325699745547
1.0,0.2911111111111111,0.835,0.945,0.9725,0,0.057777777777777775,0,1.0,1.0,0,1.0,0.8625,0.46,0,1.0,0.31323155216284987
0.09777777777777778,0.6088888888888889,0.78,1.0,0,0,0.06888888888888889,0,0,1.0,0,1.0,0,1.0,1.0,1.0,0.44770992366412216
0,0.41333333333333333,0.34,0.7525,0.2125,0,0.52,0,0,1.0,0,1.0,0.9725,0,0.884,1.0,0.4488549618320611
0.3,0.36444444444444446,1.0,0.1675,0.685,0,0.028888888888888888,0,0,0.6071428571428571,0,1.0,1.0,0,0,0.901,0.48804071246819336
0.23777777777777778,1.0,0.45,1.0,1.0,0,0,0,0,0.8714285714285714,0,1.0,0.1,0,1.0,1.0,0.41844783715012723
0.9022222222222223,0,0,0,0.1575,0,0,0.5,0.62,1.0,0,1.0,0,0.964,0,0,0.6190839694656488
