cannon_1,cannon_2,archer_1,archer_2,army_1,army_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,barracks_1,barracks_2,barracks_3,mortar_1,builder_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixerstorage_3,elixer_3,townhall_1,research_1,castle_1,total
1.0,0,1.0,1.0,0,0.11,1.0,1.0,1.0,1.0,0,0.432258064516129,1.0,1.0,0,0,0,0,0,0.09836065573770492,1.0,0.968,0.18360655737704917,1.0,0,1.0,0.31881481481481483
1.0,0,1.0,1.0,0,0.76,1.0,1.0,1.0,1.0,0.7290322580645161,0,1.0,1.0,0,0,0,0,0.6721311475409836,0.08524590163934426,0.36721311475409835,0.7013333333333334,0,1.0,1.0,1.0,0.2948148148148148
1.0,0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0.8258064516129032,1.0,0,0,0,0,0,0,0.3737704918032787,0.8186666666666667,0,1.0,0,0.258,0.40641975308641975
1.0,0,1.0,0.848,0,0.6266666666666667,1.0,1.0,1.0,1.0,0,0.22580645161290322,0,1.0,0.568,0.03934426229508197,0,0,0,0.7901639344262295,0.8819672131147541,0.08266666666666667,0,1.0,0.028,1.0,0.37066666666666664
1.0,0,1.0,0,0,0.8633333333333333,1.0,0.8186666666666667,1.0,1.0,0.7419354838709677,0,0,1.0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.5048888888888889
1.0,0,1.0,1.0,0,0.92,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0.488,0,0,1.0,0,0.940983606557377,0,1.0,0.43934426229508194,1.0,0,1.0,0.25995061728395064
1.0,0,1.0,0.962,0.22666666666666666,0.82,1.0,1.0,1.0,1.0,0.9483870967741935,0,1.0,1.0,1.0,0.3737704918032787,0,0,0,0,0,0.42,0,1.0,0,0,0.38908641975308644
1.0,0,1.0,0.81,0,1.0,1.0,1.0,1.0,1.0,0.9483870967741935,0,0,1.0,0.232,0.25901639344262295,0,0,0,0,0.6655737704918033,0.6693333333333333,0,1.0,0,0.28,0.3701234567901235
1.0,0,1.0,0.278,0,0.5233333333333333,1.0,1.0,1.0,1.0,0,1.0,0,1.0,0,0,0,0,0,0,1.0,0.8186666666666667,0,1.0,0.52,0,0.38711111111111113
1.0,0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0.535483870967742,0.8258064516129032,1.0,0,0,0,0,1.0,0.07213114754098361,0.14426229508196722,0.552,0,1.0,0,0.622,0.34498765432098766
1.0,0,1.0,0.658,0,0.68,1.0,1.0,1.0,1.0,0.4838709677419355,0.9483870967741935,0.07096774193548387,1.0,0,0,0,0,0,0.46885245901639344,0.7147540983606557,0,0,1.0,0,0,0.43333333333333335
1.0,0,1.0,0.582,0,0,1.0,1.0,1.0,1.0,0,1.0,0,1.0,0,0,0,0,1.0,0.6196721311475409,0.9737704918032787,0.9786666666666667,0,1.0,0,0.37,0.32982716049382715
1.0,0,1.0,0,0.22,0.9733333333333334,1.0,1.0,1.0,1.0,0.6387096774193548,0.12258064516129032,0.07096774193548387,0.905,0,0.8590163934426229,0,0,0,0.9737704918032787,0.9180327868852459,0.664,0,1.0,0,0.118,0.3442962962962963
