cannon_1,cannon_2,archer_1,archer_2,army_1,army_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,barracks_1,barracks_2,barracks_3,mortar_1,builder_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixerstorage_3,elixer_3,townhall_1,research_1,castle_1,total
1.0,0,1.0,0,0,0.92,1.0,0.584,1.0,1.0,1.0,0.27741935483870966,0,1.0,0,0,0,0,0,0.921311475409836,0.06557377049180328,0,0,1.0,0,0,0.4826666666666667
1.0,0,1.0,0,0.67,1.0,1.0,0.6693333333333333,1.0,1.0,0.7096774193548387,0.07096774193548387,0,0.9525,0,0.8229508196721311,0,0,0,0.7344262295081967,0.8262295081967214,0,0,1.0,0,0,0.4205925925925926
1.0,0,1.0,1.0,0,0.68,1.0,1.0,1.0,1.0,0,0.4838709677419355,0,1.0,0,0,0,0.8229508196721311,0,0.940983606557377,0.3901639344262295,0.584,0,1.0,0,0,0.368
1.0,0,1.0,1.0,0.38666666666666666,1.0,1.0,1.0,1.0,1.0,0.32903225806451614,0.5870967741935483,0,1.0,0,0,0,0,0,0.7114754098360656,0.6524590163934426,0,0,1.0,0,0,0.4075061728395062
1.0,0.5854545454545454,1.0,1.0,0,0.9733333333333334,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0.808,0,0,0.11475409836065574,0.7967213114754098,0,0,0.9786666666666667,0,1.0,0,1.0,0.2843456790123457
1.0,0,1.0,0.848,0,1.0,1.0,1.0,1.0,1.0,0.7935483870967742,1.0,0.24516129032258063,1.0,0,0.419672131147541,0,0,0,0.9114754098360656,0.5278688524590164,0.21333333333333335,0,1.0,0,0.262,0.36187654320987656
1.0,0,1.0,0.392,0.25333333333333335,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7935483870967742,1.0,1.0,1.0,0,0,0,0.9442622950819672,0.6819672131147541,0.832,0,1.0,0,0,0.28572839506172837
1.0,0,1.0,0.506,0,0.9466666666666667,1.0,1.0,1.0,1.0,0.9483870967741935,0,0.8451612903225807,1.0,0,0,0,0.6459016393442623,0.580327868852459,1.0,0,1.0,0,1.0,0,0.64,0.2876543209876543
1.0,0,1.0,0,0.4766666666666667,0.9466666666666667,1.0,1.0,1.0,1.0,0.6516129032258065,0.535483870967742,1.0,1.0,0.784,0.9475409836065574,0,0,0,0.9475409836065574,0.6459016393442623,0.136,0,1.0,0,0.19,0.3470617283950617
1.0,0,1.0,1.0,0,0.92,1.0,1.0,1.0,1.0,0,0.27741935483870966,0,1.0,0,0,0,0,0,0,0.419672131147541,0.712,0,1.0,0,0,0.4068148148148148
