barbarian_0_x, barbarian_0_y, barbarian_1_x, barbarian_1_y, barbarian_2_x, barbarian_2_y, barbarian_3_x, barbarian_3_y, barbarian_4_x, barbarian_4_y, barbarian_5_x, barbarian_5_y, barbarian_6_x, barbarian_6_y, barbarian_7_x, barbarian_7_y, barbarian_8_x, barbarian_8_y, barbarian_9_x, barbarian_9_y, barbarian_10_x, barbarian_10_y, barbarian_11_x, barbarian_11_y, barbarian_12_x, barbarian_12_y, archer_0_x, archer_0_y, archer_1_x, archer_1_y, archer_2_x, archer_2_y, archer_3_x, archer_3_y, archer_4_x, archer_4_y, archer_5_x, archer_5_y, archer_6_x, archer_6_y, archer_7_x, archer_7_y, archer_8_x, archer_8_y, archer_9_x, archer_9_y, archer_10_x, archer_10_y, archer_11_x, archer_11_y, archer_12_x, archer_12_y, giant_0_x, giant_0_y, giant_1_x, giant_1_y, giant_2_x, giant_2_y, giant_3_x, giant_3_y, giant_4_x, giant_4_y, giant_5_x, giant_5_y, giant_6_x, giant_6_y, giant_7_x, giant_7_y, giant_8_x, giant_8_y, giant_9_x, giant_9_y
30, 39, 44, -19, -7, 45, 39, -16, -4, 13, 38, 33, 8, 30, -8, 3, -7, 38, 29, 39, 33, 37, 12, 39, 34, 31, 3, -14, 34, 35, -6, 36, -10, -14, -20, 1, 44, 43, 40, 43, 43, -8, 5, 41, 28, 34, -13, -16, 41, 29, 8, -8, 31, 33, 32, -15, 5, -11, 35, 31, -12, 41, -15, -14, 32, 38, 44, 29, 16, -8, 33, -4
4, -14, 46, 45, 38, 46, -14, 46, 19, -7, 40, 47, -2, -12, 39, -17, -17, 30, 47, -19, -4, 28, -7, 45, 37, 46, 33, -17, 14, -17, 22, 44, -20, -16, -8, 19, -12, 29, -10, 33, -2, -3, -14, 25, 38, 16, -18, 27, 13, 45, 19, -14, 24, -17, 45, -18, -20, -14, 38, 6, 47, -14, 41, 31, 47, 13, -6, 3, 26, -4, 38, 43
13, 46, -7, 7, 43, 31, 44, -2, 30, 32, 23, -2, -1, 33, -13, 43, -2, 30, 36, -13, 35, -1, 19, 36, -9, 21, -10, 37, 31, -13, 35, 18, 13, -13, 41, 34, -14, -12, -20, -13, -16, 30, 2, -11, -20, 41, 36, 44, -2, 40, 4, -20, -18, -17, 19, -8, -1, -3, 29, -14, 37, -9, -10, 33, 15, -7, -9, 46, 42, -13, -13, -8
44, -6, -12, -9, -4, 33, 33, 46, 46, 12, 26, -17, -11, 42, 44, 0, -5, -8, 27, 43, -16, -2, 44, 15, 47, 47, -14, 2, -11, -17, -6, -13, 43, 36, 18, 32, 35, -10, 46, 2, -18, 30, -10, 41, 36, 41, 35, -8, 43, -8, 13, -11, 17, -18, -7, 35, 23, 40, 17, 29, -9, 16, 47, -8, 37, 37, 35, -9, 42, -8, 32, -5
42, 31, -6, -15, 38, -3, -3, 40, -15, 34, 44, -11, -9, 24, 45, -3, -14, 4, -12, -4, -7, 29, -2, -13, 5, -16, -5, -2, -8, -4, 38, -13, 15, -17, 8, -2, -1, 43, -15, 35, -18, 35, 41, -17, 24, -19, 25, -6, 37, -2, -13, 17, 29, -2, -10, 24, -13, 36, -17, -15, -15, -11, -11, 40, 45, 32, -2, -16, 2, -18, 44, -4
-18, -16, 2, 44, -14, -3, 13, 43, -16, 17, 13, -9, 33, -14, 4, 40, -19, 28, 14, -12, 16, 47, 47, 24, 36, -16, -12, 32, -18, 34, -7, -12, 36, 18, -10, -6, 32, 16, -6, -12, -11, 17, 36, 29, 32, 33, 34, 31, 31, 45, -18, -6, 17, -5, 24, -14, 35, 29, -15, 31, 22, -20, 36, 12, -14, 31, -1, 38, 31, 41, 44, -6
45, 8, 44, 38, 41, 19, 44, 42, -15, -2, 42, 20, 32, 27, -9, 22, 31, 38, 36, 38, 14, 35, 34, 18, 39, -2, 22, -6, 41, -7, 46, 29, 47, 31, 32, 33, -16, -6, -2, 34, -6, 36, 18, -10, 32, 44, -16, 32, -6, -6, 47, 0, -2, -14, -16, -9, 35, 10, -20, -14, -16, -4, 30, -8, -6, 41, 13, -10, -14, 14, -13, -10
-11, 42, -8, 15, 28, -6, -8, -6, 33, 7, 47, 47, 10, 46, -11, 41, -5, 20, 1, -20, 13, -9, 4, 35, 34, -11, 40, 35, 38, -2, -10, 38, -17, 41, 29, -10, 18, -4, 39, -13, 33, 47, 1, 39, 41, 36, -14, 28, 46, -6, -16, 36, -9, 23, -2, 37, 35, 15, 46, 28, 47, 46, -1, -13, 29, -16, 18, 34, -17, 32, 6, 39
46, 13, 44, -16, -12, 11, -15, -5, -7, -20, 25, 44, 34, 45, 46, -14, -5, 37, -7, 29, 1, -18, 8, -9, 39, 25, -19, -6, 34, 32, 33, 18, -20, 8, 33, -10, 39, 14, -11, 39, -3, -5, -12, -4, 36, 15, -8, 10, 44, 27, -3, -11, 45, 13, 33, 47, -5, 4, 12, 39, -9, -14, 35, 13, -3, 32, -9, 33, -4, 5, 0, 39
-17, 43, 44, 4, 22, -11, 0, 41, 18, -7, 45, -17, 19, 32, -10, -9, 34, -2, -4, 34, 42, -13, -20, 15, 47, 45, 35, -15, 29, 5, 5, -6, 24, -13, -12, 3, 42, 44, 35, 38, -8, 41, 46, 18, 40, 44, -17, 18, 2, 44, 42, 14, 25, 47, 36, -14, 11, 41, -11, 30, 41, 34, 44, -2, 30, 36, 29, 43, 44, 8, 21, -20
36, 21, 32, -5, 36, 15, -16, 42, -5, 18, -17, 39, 39, 25, -10, -20, 44, 43, -3, -16, 31, 24, 40, 17, 46, 29, 45, -2, 47, 38, 30, -7, 37, 17, -13, 34, 36, -15, -16, 40, 33, 33, 31, 46, 34, 45, 40, 47, 12, -2, -6, 31, -1, -5, 38, 27, 32, 36, 29, 27, -17, -12, 30, 34, 4, 42, 44, 30, 7, 41, 24, -15
44, -11, -6, -19, -14, 27, -19, 5, -10, 42, 20, -6, 32, -3, -16, 42, 16, -20, -7, 34, 23, -16, 47, -7, -17, -9, -13, -14, 3, -8, -14, -18, 35, 32, 27, 30, -13, 27, 23, 34, 32, 41, 39, 39, -18, -8, 29, 40, 40, -7, 37, -3, 42, 23, 19, 41, 29, 33, -6, 38, 46, -10, 22, -20, 35, 35, -17, 10, -18, -11, 12, -10
-9, -11, 38, -18, 27, -2, 46, 46, 1, -16, 30, 43, 36, -10, -6, 29, 43, 32, -2, 7, -10, -11, -2, -15, 44, 47, 43, -15, 35, -5, -12, -13, -6, 34, 47, 39, 43, 1, 30, -18, -8, -7, 8, -7, 13, -20, 27, -10, 14, -5, -8, 41, -8, -12, -7, -3, -2, -11, 38, -10, 37, -16, 22, 44, 44, 17, -14, 25, -16, 19, -8, 22
