cannon_1,cannon_2,archer_1,archer_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,mortar_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixer_3,elixer_4,barracks_1,barracks_2,barracks_3,townhall_1,research_1,army_1,army_2,builder_1,builder_2,castle_1,total
1.0,0,1.0,0,0,1.0,1.0,0,1.0,0,0,0,0,0,0,0,0,0.9483870967741935,0,0,1.0,0,0,0.79,0,0,0.982,0.5841942148760331
1.0,1.0,1.0,0,0,1.0,1.0,1.0,0.13,0,0,0,0,0,0,0,0,0.8451612903225807,0,0,1.0,0,0.10333333333333333,1.0,0,0,1.0,0.48729338842975206
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0.6688524590163935,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.06,0,0,0.91,0.48274793388429754
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,0.904,0.5783057851239669
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.21666666666666667,0,0,0.982,0.4952479338842975
1.0,1.0,0,1.0,1.0,0.968,0,1.0,0.4775,0,0,0,0,0.7639344262295082,0,0,0,0.41935483870967744,0.7935483870967742,0,1.0,0,0,1.0,0,0,0.648,0.4740185950413223
1.0,1.0,0.24,0,0,1.0,0.448,1.0,1.0,1.0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,0.03666666666666667,0,0,1.0,0.5307851239669421
1.0,1.0,0.848,0,0.792,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0.9419354838709677,1.0,1.0,1.0,0,0.37,1.0,0,0,0.712,0.3849173553719008
0,0,1.0,0,0,0.8933333333333333,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8274793388429752
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,1.0,0,0,1.0,0,0,1.0,0,0,1.0,0.4700413223140496
1.0,1.0,0,0,0.136,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.6387096774193548,0.36129032258064514,1.0,0,0.28,1.0,0,0,0.044,0.6035123966942149
1.0,1.0,0,0,0.19866666666666666,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.6903225806451613,0,0,1.0,0,0,1.0,0,0,0.664,0.5802685950413223
1.0,1.0,1.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.9466666666666667,0,0,0.946,0.49049586776859505
1.0,1.0,0,0.886,1.0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0.62,0,0,0.804,0.5108987603305785
1.0,1.0,0,0,0,1.0,0,1.0,1.0,0,0,0,0,0,0,0,0,0.16774193548387098,0,0,1.0,0,0,0.2,0,0,0.51,0.6367768595041322
