cannon_1,cannon_2,archer_1,archer_2,goldstorage_1,goldstorage_2,elixerstorage_1,elixerstorage_2,mortar_1,gold_1,gold_2,gold_3,gold_4,elixer_1,elixer_2,elixer_3,elixer_4,barracks_1,barracks_2,barracks_3,townhall_1,research_1,army_1,army_2,builder_1,builder_2,builder_3,builder_4,builder_5,castle_1,total
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.9114754098360656,0,0.21311475409836064,0,0.6852459016393443,1.0,1.0,0,0.5286486486486487,0,1.0,1.0,0,0,0,1.0,0,0,0.43990123456790126
1.0,0,0,0.392,1.0,0.9,1.0,1.0,0,0,0,0,0.8950819672131147,0,0,0,0.5672131147540984,1.0,1.0,0.9483870967741935,0,0,0.38666666666666666,1.0,0,0,0,0.744,0,0,0.528395061728395
1.0,0.6890909090909091,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0,0.27741935483870966,0,0.6389189189189189,0,1.0,0,0,0,0,0,0,0,0.5038518518518519
1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.5901639344262295,0,0,0,0,0.535483870967742,0.7419354838709677,0,0.652972972972973,0,1.0,1.0,0,0,0,0,0,0,0.46153086419753087
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0.6557377049180327,1.0,1.0,0,0.5221621621621622,0,0.84,1.0,0,0,0,0.936,0,0,0.45066666666666666
1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.6327868852459017,0,0,0,0.06885245901639345,1.0,1.0,0.896774193548387,0.9048648648648648,0,0,0.94,0,0,0,1.0,0,0,0.4294320987654321
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0.6131147540983607,0.7540983606557377,1.0,1.0,1.0,1.0,0,0.41333333333333333,1.0,0,0,0,1.0,0,0,0.38212345679012344
1.0,0.44727272727272727,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0.7934426229508197,1.0,1.0,1.0,0.17189189189189188,0,0.19,1.0,0,0,0,1.0,0,0,0.4695308641975309
1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0.62,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.8133333333333334,0.91,0,0,0,0,0,0,0.4631111111111111
1.0,0.06727272727272728,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0.3442622950819672,0,0.7677419354838709,1.0,1.0,0.8248648648648649,0,1.0,1.0,0,0,0,1.0,0,0,0.41328395061728396
1.0,0.8618181818181818,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0.9466666666666667,0,0,0,0,0,0,0.4724938271604938
1.0,0,0,1.0,1.0,1.0,1.0,0.764,0,0,0,0,0.39344262295081966,0,0.6065573770491803,0.380327868852459,0.3114754098360656,1.0,1.0,1.0,1.0,0,0.6533333333333333,1.0,0,0,0,1.0,0,0,0.4128395061728395
1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0.05245901639344262,0,0,0.9483870967741935,1.0,0,1.0,0,1.0,1.0,0,0,0.464,0,0,0,0.3999012345679012
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.7639344262295082,0,0,0,0,0.3032258064516129,0,0,0.7902702702702703,0,1.0,0.2,0,0,0,0,0,0,0.5095308641975309
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.8819672131147541,0,0.7114754098360656,0.46229508196721314,0.8426229508196721,1.0,1.0,1.0,0.8735135135135135,0,1.0,1.0,0,0,0,1.0,0,0,0.3602962962962963
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0.14426229508196722,0.7639344262295082,1.0,1.0,1.0,0.31891891891891894,0,0.52,1.0,0,0,0,1.0,0,0,0.45501234567901233
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.5868852459016394,0,0,0,0.5573770491803278,1.0,1.0,0.432258064516129,0.6075675675675676,0,0.5733333333333334,1.0,0,0,0,1.0,0,0,0.4587654320987654
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.9737704918032787,0,0,0,0.8950819672131147,1.0,1.0,0.6387096774193548,1.0,0,0.41333333333333333,1.0,0,0,0,1.0,0,0,0.4026666666666667
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.8950819672131147,0,0,0.41935483870967744,0.17419354838709677,0.06451612903225806,0.5037837837837837,0,1.0,0.2,0,0,0.232,1.0,0,0,0.5111111111111111
1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.9913513513513513,0,0.84,0.6733333333333333,0,0,0,0,0,0,0.4823703703703704
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0.3704918032786885,0,1.0,1.0,1.0,0,0.5232432432432432,0,1.0,1.0,0,0,0,0.168,0,0,0.43377777777777776
1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.8918032786885246,0,0,0,1.0,1.0,0,0,1.0,0,0,0.2833333333333333,0,0,0,0,0,0,0.4457283950617284
1.0,0.5854545454545454,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.6459016393442623,0.5147540983606558,0,0,1.0,0.5278688524590164,1.0,1.0,1.0,0.21513513513513513,0,0,1.0,0,0,0,1.0,0,0,0.44049382716049384
1.0,0.27454545454545454,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.01639344262295082,0.42295081967213116,0.7901639344262295,0,0,0,1.0,0,0.7372972972972973,0,1.0,1.0,0,0,0,0.872,0,0,0.4477530864197531
1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.8819672131147541,0,0,0,0,1.0,1.0,0.6387096774193548,0.11783783783783784,0,0,0.7866666666666666,0,0,0,1.0,0,0,0.5043950617283951
1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,1.0,0.9419354838709677,1.0,0,1.0,0,1.0,1.0,0,0,0,0.232,0,0,0.4014814814814815
1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.5733333333333334,0,0,0,0,0,0,0,0.509432098765432
1.0,0.6890909090909091,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0.2098360655737705,0,0,0,0,0,1.0,0,1.0,0.45,0,0,0.488,0,0,0,0.47955555555555557
0,1.0,0,1.0,0,1.0,1.0,1.0,0,0,0,0,0.659016393442623,0,0,0,0.6459016393442623,1.0,1.0,0,0.9275675675675675,0,1.0,1.0,0,0,0,0.68,0,0,0.49866666666666665
1.0,1.0,0,1.0,1.0,0.99,1.0,1.0,0,0,0,0,0.022950819672131147,0,0,0,0.003278688524590164,1.0,0.012903225806451613,0,0,0,0.8933333333333333,1.0,0,0,0,0,0,0,0.5461728395061728
1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,0.8852459016393442,0,0,0,0,1.0,0.896774193548387,0,0.9545945945945946,0,0.9733333333333334,0.7866666666666666,0,0,0,0,0,0,0.42271604938271606
1.0,0.5163636363636364,0,1.0,1.0,1.0,1.0,1.0,0,0,0,0,1.0,0,0,0,0,0.896774193548387,1.0,0.8451612903225807,0.8605405405405405,0,1.0,0.04,0,0,0,1.0,0,0,0.43703703703703706
